Cedula,Referencia,Nproducto,Punitario,Cantidad,Subtotal,Fecha,Hora

55,c350,cocacola350,2000.0,2,4000.0,20210601,04:11:04
55,,,,,,,
97,m500ml,manzana,3250.0,2,6500.0,20210601,04:14:25
97,,,,,,,
97,m500ml,manzana,3250.0,2,6500.0,20210601,04:14:25
97,NGD,GDUCALES,4000.0,2,8000.0,20210601,04:14:25
97,,,,,,,
93,m500ml,manzana,3250.0,2,6500.0,20210601,04:21:00
93,,,,,,,
93,m500ml,manzana,3250.0,2,6500.0,20210601,04:21:00
93,nlk480,lecheklim,7200.0,2,14400.0,20210601,04:21:00
93,,,,,,,
93,m500ml,manzana,3250.0,2,6500.0,20210601,04:21:00
93,,,,,,,
93,m500ml,manzana,3250.0,2,6500.0,20210601,04:21:00
93,nlk480,lecheklim,7200.0,2,14400.0,20210601,04:21:00
93,,,,,,,
97,c500ml,colombia,3250.0,2,6500.0,20210601,23:49:43
97,,,,,,,
97,c500ml,colombia,3250.0,2,6500.0,20210601,23:49:43
97,nlk480,lecheklim,7200.0,1,7200.0,20210601,23:49:43
97,,,,,,,
93,c500ml,colombia,3250.0,1,3250.0,20210601,23:55:25
93,,,,,,,
93,c500ml,colombia,3250.0,1,3250.0,20210601,23:55:25
93,NGD,GDUCALES,4000.0,2,8000.0,20210601,23:55:25
93,,,,,,,
